Hand,Color,Players,misses
AA,紺,10,1
AKs,紺,10,1
AQs,赤,9,1
AJs,赤,9,1
ATs,赤,9,1
A9s,緑,7,1
A8s,緑,7,1
A7s,緑,7,1
A6s,緑,7,1
A5s,緑,7,1
A4s,緑,7,1
A3s,緑,7,1
A2s,緑,7,1
AKo,紺,10,1
KK,紺,10,1
KQs,赤,9,1
KJs,オレンジ,8,1
KTs,緑,7,1
K9s,緑,7,1
K8s,白,3,1
K7s,白,3,1
K6s,白,3,1
K5s,白,3,1
K4s,白,3,1
K3s,白,3,1
K2s,白,3,1
AQo,赤,9,1
KQo,オレンジ,8,1
QQ,紺,10,1
QJs,オレンジ,8,1
QTs,緑,7,1
Q9s,水色,5,1
Q8s,白,3,1
Q7s,白,3,1
Q6s,白,3,1
Q5s,紫,2,1
Q4s,紫,2,1
Q3s,紫,2,1
Q2s,紫,2,1
AJo,オレンジ,8,1
KJo,緑,7,1
QJo,水色,5,1
JJ,赤,9,1
JTs,オレンジ,8,1
J9s,水色,5,1
J8s,白,3,1
J7s,白,3,1
J6s,紫,2,1
J5s,ピンク,1,1
J4s,ピンク,1,1
J3s,ピンク,1,1
J2s,ピンク,1,1
ATo,緑,7,1
KTo,水色,5,1
QTo,白,3,1
JTo,水色,5,1
TT,赤,9,1
T9s,緑,7,1
T8s,水色,5,1
T7s,紫,2,1
T6s,ピンク,1,1
T5s,ピンク,1,1
T4s,ピンク,1,1
T3s,ピンク,1,1
T2s,グレー,0,1
A9o,水色,5,1
K9o,白,3,1
Q9o,白,3,1
J9o,白,3,1
T9o,白,3,1
99,赤,9,1
98s,水色,5,1
97s,白,3,1
96s,紫,2,1
95s,ピンク,1,1
94s,グレー,0,1
93s,グレー,0,1
92s,グレー,0,1
A8o,白,3,1
K8o,ピンク,1,1
Q8o,ピンク,1,1
J8o,ピンク,1,1
T8o,ピンク,1,1
98o,紫,2,1
88,オレンジ,8,1
87s,白,3,1
86s,紫,2,1
85s,ピンク,1,1
84s,グレー,0,1
83s,グレー,0,1
82s,グレー,0,1
A7o,白,3,1
K7o,ピンク,1,1
Q7o,ピンク,1,1
J7o,グレー,0,1
T7o,グレー,0,1
97o,ピンク,1,1
87o,ピンク,1,1
77,オレンジ,8,1
76s,白,3,1
75s,紫,2,1
74s,ピンク,1,1
73s,グレー,0,1
72s,グレー,0,1
A6o,紫,2,1
K6o,ピンク,1,1
Q6o,グレー,0,1
J6o,グレー,0,1
T6o,グレー,0,1
96o,グレー,0,1
86o,グレー,0,1
76o,グレー,0,1
66,緑,7,1
65s,白,3,1
64s,紫,2,1
63s,ピンク,1,1
62s,グレー,0,1
A5o,ピンク,1,1
K5o,ピンク,1,1
Q5o,グレー,0,1
J5o,グレー,0,1
T5o,グレー,0,1
95o,グレー,0,1
85o,グレー,0,1
75o,グレー,0,1
65o,グレー,0,1
55,緑,7,1
54s,紫,2,1
53s,ピンク,1,1
52s,グレー,0,1
A4o,ピンク,1,1
K4o,グレー,0,1
Q4o,グレー,0,1
J4o,グレー,0,1
T4o,グレー,0,1
94o,グレー,0,1
84o,グレー,0,1
74o,グレー,0,1
64o,グレー,0,1
44,水色,5,1
43s,ピンク,1,1
42s,グレー,0,1
A3o,ピンク,1,1
K3o,グレー,0,1
Q3o,グレー,0,1
J3o,グレー,0,1
T3o,グレー,0,1
93o,グレー,0,1
83o,グレー,0,1
73o,グレー,0,1
63o,グレー,0,1
53o,グレー,0,1
43o,グレー,0,1
33,水色,5,1
32s,グレー,0,1
A2o,ピンク,1,1
K2o,グレー,0,1
Q2o,グレー,0,1
J2o,グレー,0,1
T2o,グレー,0,1
92o,グレー,0,1
82o,グレー,0,1 
72o,グレー,0,1
62o,グレー,0,1
52o,グレー,0,1
42o,グレー,0,1
32o,グレー,0,1
22,水色,5,1
